Input Number, Run_Number, Result@ 100, X1, Y, X2
In15, Run: 086, P, 0, 11, 0
In15, Run: 087, P, 0, 11, 0
In15, Run: 088, P, 0, 11, 0
In15, Run: 089, P, 0, 11, 0
In15, Run: 090, P, 0, 11, 0
In15, Run: 091, P, 0, 11, 0
In15, Run: 092, P, 0, 11, 0
In15, Run: 093, P, 0, 11, 0
In15, Run: 094, P, 0, 11, 0
In15, Run: 095, P, 0, 11, 0
In15, Run: 096, P, 0, 11, 0
In15, Run: 097, P, 0, 11, 0
In15, Run: 098, P, 0, 11, 0
In15, Run: 099, P, 0, 11, 0
In15, Run: 100, P, 0, 11, 0
In17, Run: 001, P, 0, 16, 0
In17, Run: 002, P, 0, 16, 0
In17, Run: 003, P, 0, 16, 0
In17, Run: 004, P, 0, 16, 0
In17, Run: 005, P, 0, 16, 0
In17, Run: 006, P, 0, 16, 0
In17, Run: 007, P, 0, 16, 0
In17, Run: 008, P, 0, 16, 0
In17, Run: 009, P, 0, 16, 0
In17, Run: 010, P, 0, 16, 0
In17, Run: 011, P, 0, 16, 0
In17, Run: 012, P, 0, 16, 0
In17, Run: 013, P, 0, 16, 0
In17, Run: 014, P, 0, 16, 0
In17, Run: 015, P, 0, 16, 0
In17, Run: 016, P, 0, 16, 0
In17, Run: 017, P, 0, 16, 0
In17, Run: 018, P, 0, 16, 0
In17, Run: 019, P, 0, 16, 0
In17, Run: 020, P, 0, 16, 0
In17, Run: 021, P, 0, 16, 0
In17, Run: 022, P, 0, 16, 0
In17, Run: 023, P, 0, 16, 0
In17, Run: 024, P, 0, 16, 0
In17, Run: 025, P, 0, 16, 0
In17, Run: 026, P, 0, 16, 0
In17, Run: 027, P, 0, 16, 0
In17, Run: 028, P, 0, 16, 0
In17, Run: 029, P, 0, 16, 0
In17, Run: 030, P, 0, 16, 0
In17, Run: 031, P, 0, 16, 0
In17, Run: 032, P, 0, 16, 0
In17, Run: 033, P, 0, 16, 0
In17, Run: 034, P, 0, 16, 0
In17, Run: 035, P, 0, 16, 0
In17, Run: 036, P, 0, 16, 0
In17, Run: 037, P, 0, 16, 0
In17, Run: 038, P, 0, 16, 0
In17, Run: 039, P, 0, 16, 0
In17, Run: 040, P, 0, 16, 0
In17, Run: 041, P, 0, 16, 0
In17, Run: 042, P, 0, 16, 0
In17, Run: 043, P, 0, 16, 0
In17, Run: 044, P, 0, 16, 0
In17, Run: 045, P, 0, 16, 0
In17, Run: 046, P, 0, 16, 0
In17, Run: 047, P, 0, 16, 0
In17, Run: 048, P, 0, 16, 0
In17, Run: 049, P, 0, 16, 0
In17, Run: 050, P, 0, 16, 0
In17, Run: 051, P, 0, 16, 0
In17, Run: 052, P, 0, 16, 0
In17, Run: 053, P, 0, 16, 0
In17, Run: 054, P, 0, 16, 0
In17, Run: 055, P, 0, 16, 0
